image_id,image_path,mode,alpha,alpha_eff,mask_mean,psnr,ssim,rec_psnr,rec_ssim,ncc,ber,qr_decoded,frob_predicted,frob_measured,psnr_predicted,weyl_bound_max,mirsky_bound_max
coco_000000002923,images/coco_000000002923.png,svd_only,0.02,0.02,1.0,36.72226978862136,0.9966494824666916,17.809080549722154,0.8223638516996042,0.9930485867812078,3.814697265625e-06,1,3755.685154535721,3298.050333151391,35.59363182586987,1893.8702754609205,2168.345834962678
coco_000000002923,images/coco_000000002923.png,svd_only,0.05,0.05,1.0,28.36847517917233,0.9843908607373132,18.305716763390286,0.7071886458827482,0.9854409795131143,3.814697265625e-06,1,9389.212886339303,8628.732583641702,27.634831652429117,4734.675688652302,5420.864587406695
coco_000000002923,images/coco_000000002923.png,svd_only,0.1,0.1,1.0,22.30982087184314,0.9484981746599909,17.160262069021698,0.6834528467382414,0.9820511149712428,3.814697265625e-06,1,18778.425772678605,17333.238993333012,21.614231739149496,9469.351377304603,10841.72917481339
coco_000000002923,images/coco_000000002923.png,svd_texture,0.001,0.00019063760547977527,0.10070845053308361,62.58323056602423,0.9999527010152519,5.189053023517395,0.6110677696943437,0.5368635550309062,0.3322715759277344,0,35.79874123983148,167.9613050675661,76.0100602515686,18.052144720159614,20.668412891466446
coco_000000002923,images/coco_000000002923.png,svd_texture,0.005,0.0009531880273988763,0.10070845053308361,62.54979954040141,0.9999526235661427,2.960961813900906,0.33497554072875263,0.46297874077048035,0.6792182922363281,0,178.9937061991574,168.60901518009052,62.03066016484822,90.26072360079807,103.34206445733223
coco_000000002923,images/coco_000000002923.png,svd_texture,0.01,0.0019063760547977527,0.10070845053308361,61.24896905005032,0.999948300773402,3.0730517729856626,0.3419564023319565,0.5681217269271878,0.6895179748535156,0,357.9874123983148,195.8494319624134,56.010060251568596,180.52144720159615,206.68412891466446
coco_000000002923,images/coco_000000002923.png,svd_texture,0.02,0.0038127521095955054,0.10070845053308361,54.02511718287293,0.9995735410953547,5.837400930962994,0.6090856580681745,0.8102175295213988,0.5282516479492188,0,715.9748247966296,449.8988775269394,49.98946033828898,361.0428944031923,413.3682578293289
coco_000000002923,images/coco_000000002923.png,svd_texture,0.05,0.009531880273988763,0.10070845053308361,44.0063257161913,0.9988896854897065,13.900031312954095,0.890428243792761,0.9936167499253318,6.4849853515625e-05,1,1789.937061991574,1425.7864496480531,42.03066016484822,902.6072360079808,1033.4206445733223
coco_000000002923,images/coco_000000002923.png,svd_texture,0.1,0.019063760547977527,0.10070845053308361,37.17700696919808,0.9968900242219347,17.636083370264807,0.831286230566747,0.9933791409389682,7.62939453125e-06,1,3579.874123983148,3129.827631036572,36.0100602515686,1805.2144720159615,2066.8412891466446
coco_000000002923,images/coco_000000002923.png,svd_yolo,0.001,0.00020868406924664704,0.12076007694071893,62.58323056602423,0.9999527010152519,5.098169203579639,0.5999023804347764,0.5306043303842406,0.3558769226074219,0,39.187583042886835,167.9613050675661,75.22444580550197,19.761027785422662,22.62496161870151
